linha,data,atraso_medio,atraso_std,atraso_max,prop_atrasadas,velocidade_media,velocidade_std,tempo_viagem_medio,tempo_viagem_std,variabilidade_iqr,conformidade_shape,num_viagens,tempo_fundao_total,velocidade_fundao,pings_fundao,dia_semana,mes,cluster
321,2025-08-01,12.451035196687371,15.432014712549257,66.35,0.2857142857142857,0.023399162918002238,0.004530166514312493,70.0491718426501,15.325792507290956,15.595652173913043,97.63857142857142,161,172.59666666666666,25.48975844074942,6293,4,8,1
323,2025-08-01,19.85286384976526,16.64433676036752,76.25333333333334,0.6126760563380281,0.0244724351683933,0.005471805939573264,73.86220657276995,16.815622534166145,17.182394366197176,99.54387323943662,142,138.81507936507938,25.978188458005505,3373,4,8,1
325,2025-08-01,14.278405797101449,14.558022883079955,65.24,0.34782608695652173,0.02507746093299984,0.004869314724431604,68.86811594202898,15.052043631233467,10.989855072463767,99.3463768115942,69,76.56842105263158,25.585180154767528,2733,4,8,1
327,2025-08-01,18.830000000000002,17.448493774196663,67.76333333333332,0.5833333333333334,0.027193955469591746,0.0075540386880375565,65.24583333333334,17.4500311595839,18.94791666666666,99.81708333333334,48,47.1,27.363024639600212,1117,4,8,2
485,2025-08-01,8.455164319248825,7.587809088157646,28.108333333333334,0.18309859154929578,0.03367729246155776,0.008020188210656524,57.5755868544601,10.359836147730555,10.166901408450704,100.0,71,162.99019607843138,23.52994926104569,4734,4,8,0
486,2025-08-01,27.552083333333332,22.699267303397946,60.11666666666666,0.625,0.02080059300047338,0.0053979481535441996,90.26875,22.699267303397946,43.087500000000006,100.0,16,51.12291666666667,27.279339164495415,678,4,8,3
616,2025-08-01,4.585263157894737,4.377234278608418,16.473333333333333,0.039473684210526314,0.03246478886724008,0.006103610382716233,23.096929824561403,6.056601975149112,5.972916666666668,100.0,76,115.08859649122807,20.591800815431508,5606,4,8,0
635,2025-08-01,6.939523809523811,11.977068249716364,46.736666666666665,0.07142857142857142,0.0262524784156595,0.0030119106299443302,78.69285714285715,11.478565521112229,5.416666666666657,99.9557142857143,14,30.071212121212124,22.439320104633715,483,4,8,1
913,2025-08-01,4.164755555555555,4.435104991235639,15.98333333333333,0.04,0.03416569072289779,0.006829510641602851,22.040888888888887,5.653311164895059,5.758111111111112,99.91106666666667,75,106.6043859649123,21.839560615651514,3226,4,8,0
945,2025-08-01,16.850476190476193,17.895855169128748,60.879999999999995,0.5,0.03406005787375762,0.008406809968967697,67.18214285714285,20.736644826120944,17.295833333333334,100.0,14,36.993750000000006,33.42955524492275,530,4,8,2
SP635,2025-08-01,5.809733333333334,6.770830609913982,31.763333333333335,0.04,0.032238112818548104,0.004900097206678861,38.29,6.771004698686129,7.492666666666666,99.67,25,38.607142857142854,25.30157831198046,844,4,8,0
